Key,Type,Desc,English,Vietnamese,Chinese,Korean,Japanese,Portuguese,Spanish,Indonesian,Turkish,German,French,Italian,Russian,Thai,Hindi
0_SYMBOL_KEY,Text,,"0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x","0123456789.,!?:&%/+x"
1FTVVIPMikado-Black SDF,Material,,1FTVVIPMikado-Black SDF Material,1FTVVIPMikado-Black SDF Material,NotoSansSC-ExtraBold SDF Material,KO_JALNANGOTHICTTF SDF Material,JP_FUTEHODO-MARUGOTHIC SDF Material,1FTVVIPMikado-Black SDF Material,1FTVVIPMikado-Black SDF Material,1FTVVIPMikado-Black SDF Material,1FTVVIPMikado-Black SDF Material,1FTVVIPMikado-Black SDF Material,1FTVVIPMikado-Black SDF Material,1FTVVIPMikado-Black SDF Material,movavi-grotesque Material,NOTOSANSTHAI-EXTRABOLD SDF Material,BakbakOne-Regular SDF Material
1FTVVIPMikado-Black SDF-Desc-Black,Material,,1FTVVIPMikado-Black SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,NotoSansSC-ExtraBold SDF Material Desc Black,KO_JALNANGOTHICTTF SDF Material Desc Black,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,1FTVVIPMikado-Black SDF Material Desc Black,movavi-grotesque Material Desc Black,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Black,BakbakOne-Regular SDF Material Desc Black
1FTVVIPMikado-Black SDF-Desc-Blue,Material,,1FTVVIPMikado-Black SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,NotoSansSC-ExtraBold SDF Material Desc Blue,KO_JALNANGOTHICTTF SDF Material Desc Blue,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,1FTVVIPMikado-Black SDF Material Desc Blue,movavi-grotesque Material Desc Blue,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Blue,BakbakOne-Regular SDF Material Desc Blue
1FTVVIPMikado-Black SDF-Desc-Brown,Material,,1FTVVIPMikado-Black SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,NotoSansSC-ExtraBold SDF Material Desc Brown,KO_JALNANGOTHICTTF SDF Material Desc Brown,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,1FTVVIPMikado-Black SDF Material Desc Brown,movavi-grotesque Material Desc Brown,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Brown,BakbakOne-Regular SDF Material Desc Brown
1FTVVIPMikado-Black SDF-Desc-Gray,Material,,1FTVVIPMikado-Black SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,NotoSansSC-ExtraBold SDF Material Desc Gray,KO_JALNANGOTHICTTF SDF Material Desc Gray,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,1FTVVIPMikado-Black SDF Material Desc Gray,movavi-grotesque Material Desc Gray,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Gray,BakbakOne-Regular SDF Material Desc Gray
1FTVVIPMikado-Black SDF-Desc-Green,Material,,1FTVVIPMikado-Black SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,NotoSansSC-ExtraBold SDF Material Desc Green,KO_JALNANGOTHICTTF SDF Material Desc Green,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,1FTVVIPMikado-Black SDF Material Desc Green,movavi-grotesque Material Desc Green,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Green,BakbakOne-Regular SDF Material Desc Green
1FTVVIPMikado-Black SDF-Desc-Pink,Material,,1FTVVIPMikado-Black SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,NotoSansSC-ExtraBold SDF Material Desc Pink,KO_JALNANGOTHICTTF SDF Material Desc Pink,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,1FTVVIPMikado-Black SDF Material Desc Pink,movavi-grotesque Material Desc Pink,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Pink,BakbakOne-Regular SDF Material Desc Pink
1FTVVIPMikado-Black SDF-Desc-Purple,Material,,1FTVVIPMikado-Black SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,NotoSansSC-ExtraBold SDF Material Desc Purple,KO_JALNANGOTHICTTF SDF Material Desc Purple,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,1FTVVIPMikado-Black SDF Material Desc Purple,movavi-grotesque Material Desc Purple,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Purple,BakbakOne-Regular SDF Material Desc Purple
